x,y,gol,tirador,portero,tipo_de_tiro,marco_vacio,pasivo,distancia_a_gol,larga_distancia,posicion,xg,probabilidad_parada,numero_tiro,mitad
15.95000572,-6.3441013,Gol,Motor,"1 - Perez de Vargas, G",Penetracion,FALSE,FALSE,6.31409305,FALSE,right,75%,25%,36,1
-10.63333097,-2.066322982,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,9.383773789,TRUE,left,42%,58%,37,1
18.08889488,-7.38299032,Gol,Motor,"1 - Perez de Vargas, G",Extremo,FALSE,FALSE,6.18562025,FALSE,right,62%,38%,38,1
-10.63333097,0.92812184,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,9.366669034,TRUE,centre,71%,29%,39,1
13.87222768,1.050344078,Gol,Motor,"1 - Perez de Vargas, G",Contragolpe,FALSE,FALSE,6.127772316,FALSE,centre,77%,23%,40,1
-12.89444236,5.511455752,Parada,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,8.159701379,FALSE,right,69%,31%,41,1
17.66111705,7.467011555,Parada,Motor,"1 - Perez de Vargas, G",Extremo,FALSE,TRUE,6.409024914,FALSE,left,62%,38%,42,1
-17.04999844,7.283678198,Gol,Barcelona,"33 - Maroz, Ivan",Extremo,FALSE,FALSE,6.492568266,FALSE,right,62%,38%,43,1
10.69444951,1.417010791,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,9.305550495,TRUE,centre,39%,61%,44,1
-15.15555376,6.061455822,Gol,Barcelona,"33 - Maroz, Ivan",Penetracion,FALSE,FALSE,6.653986669,FALSE,right,75%,25%,45,1
14.79514397,-4.895891476,Gol,Barcelona,"33 - Maroz, Ivan",Extremo,FALSE,FALSE,6.21470878,FALSE,right,62%,38%,46,2
-13.96395072,2.917272977,Gol,Motor,"1 - Perez de Vargas, G",General,FALSE,FALSE,6.200205932,FALSE,right,69%,31%,47,2
11.19333057,-0.185827798,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,8.806669431,FALSE,centre,71%,29%,48,2
-12.19075028,0.811597451,Gol,Motor,"1 - Perez de Vargas, G",Penetracion,FALSE,FALSE,7.809249723,FALSE,centre,75%,25%,49,2
11.91369325,0.312884826,Gol,Barcelona,"33 - Maroz, Ivan",General,FALSE,FALSE,8.086306751,FALSE,centre,71%,29%,50,2
